,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[74,75]","[8.792811,11.696572]","[9.321640,11.486539]","[9.665572,11.015627]","[9.402235,10.752941]","[9.061766,10.404838]","[8.641907,10.240907]","[8.486484,10.061042]","[8.461704,9.993331]","[8.245926,10.301364]","[8.376578,10.435705]","[8.625417,10.649135]","[8.387888,11.505178]"
"[75,76]","[8.708794,11.672533]","[9.187792,11.526756]","[9.584443,11.044171]","[9.392013,10.749332]","[9.096081,10.365372]","[8.690810,10.163667]","[8.492352,9.995910]","[8.435142,9.947639]","[8.231990,10.250950]","[8.385549,10.371146]","[8.595738,10.613107]","[8.361165,11.440430]"
"[76,77]","[8.749235,11.632990]","[9.239965,11.499751]","[9.608160,11.037792]","[9.426864,10.701129]","[9.096123,10.329640]","[8.640068,10.186550]","[8.457161,10.031997]","[8.416436,9.986235]","[8.241047,10.250090]","[8.379739,10.353052]","[8.599816,10.564200]","[8.479799,11.288662]"
"[77,78]","[8.687197,11.682588]","[9.289109,11.463418]","[9.598161,11.036860]","[9.355481,10.709931]","[9.023558,10.313485]","[8.616007,10.153131]","[8.496301,10.000906]","[8.358052,10.095348]","[8.267041,10.258353]","[8.399477,10.311081]","[8.623365,10.476628]","[8.421080,11.292330]"
"[78,79]","[8.633590,11.602429]","[9.125335,11.491144]","[9.555620,11.004620]","[9.393564,10.680676]","[9.022174,10.355439]","[8.617622,10.136441]","[8.416929,9.961874]","[8.413058,9.850412]","[8.318870,10.023054]","[8.389953,10.195062]","[8.623388,10.393127]","[8.486790,11.131058]"
"[79,80]","[8.569301,11.589322]","[9.053224,11.520412]","[9.492948,11.046660]","[9.349727,10.693045]","[8.997339,10.321816]","[8.619700,10.068732]","[8.435557,9.906933]","[8.392589,9.878534]","[8.284894,10.082778]","[8.323696,10.259685]","[8.525411,10.437941]","[8.500750,11.030804]"
"[80,81]","[8.445907,11.638872]","[8.970281,11.512652]","[9.436752,11.004354]","[9.275181,10.679635]","[8.984856,10.267508]","[8.584214,10.051442]","[8.459308,9.826322]","[8.335027,9.863048]","[8.318321,9.964442]","[8.295041,10.206275]","[8.532904,10.360265]","[8.470199,10.996816]"
"[81,82]","[8.466671,11.566322]","[8.926857,11.508101]","[9.370186,11.025338]","[9.236818,10.673113]","[8.940477,10.268990]","[8.530166,10.068149]","[8.500053,9.755505]","[8.319868,9.851994]","[8.340877,9.912285]","[8.279478,10.182869]","[8.542504,10.302036]","[8.479115,10.934713]"
"[82,83]","[8.414113,11.557460]","[8.854225,11.496649]","[9.279697,11.030188]","[9.181387,10.660535]","[8.905212,10.257937]","[8.531954,10.031926]","[8.428784,9.793571]","[8.292601,9.846711]","[8.322279,9.906286]","[8.219296,10.229237]","[8.538368,10.292680]","[8.489914,10.892139]"
"[83,84]","[8.396179,11.496976]","[8.801621,11.477770]","[9.245108,11.007744]","[9.149847,10.650967]","[8.882736,10.248828]","[8.563133,9.968282]","[8.453566,9.727444]","[8.283395,9.803684]","[8.284242,9.883556]","[8.280076,10.101633]","[8.468234,10.290420]","[8.504703,10.799920]"
