,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[81,82]","[31.517375,34.080873]","[32.362280,33.283649]","[32.396483,33.491640]","[32.464091,33.567946]","[31.967791,33.986899]","[32.414588,33.405697]","[30.016571,35.876162]","[32.549506,33.687536]","[32.729926,33.887548]","[32.899100,33.805098]","[32.709238,33.680317]","[31.185144,34.716189]"
"[82,83]","[31.686313,33.931457]","[32.375975,33.331077]","[32.447486,33.555574]","[32.496942,33.632845]","[31.961278,33.976182]","[32.321541,33.336949]","[29.530384,36.133937]","[32.459216,33.609986]","[32.752109,33.831663]","[32.941513,33.831946]","[32.757226,33.714395]","[31.155939,34.784074]"
"[83,84]","[31.748045,33.914690]","[32.400934,33.348594]","[32.441155,33.568011]","[32.506594,33.628157]","[31.996926,34.020185]","[32.423521,33.426050]","[30.154651,35.759699]","[32.562864,33.706749]","[32.751956,33.906408]","[32.923135,33.815976]","[32.738459,33.676236]","[31.071481,34.862366]"
"[84,85]","[31.747312,33.968520]","[32.408540,33.373855]","[32.446881,33.572515]","[32.513995,33.634196]","[32.015699,34.050081]","[32.449152,33.491744]","[30.310828,35.711313]","[32.627630,33.728603]","[32.807262,33.899742]","[32.945119,33.820206]","[32.755000,33.692079]","[31.132754,34.851438]"
"[85,86]","[31.794793,33.955525]","[32.435642,33.400598]","[32.485359,33.604007]","[32.504409,33.718408]","[32.088209,34.044987]","[32.548287,33.447648]","[30.155499,35.911371]","[32.666094,33.728535]","[32.834987,33.904985]","[32.963727,33.827582]","[32.763010,33.704237]","[31.197167,34.808872]"
"[86,87]","[31.806462,33.975625]","[32.459921,33.389785]","[32.500857,33.592060]","[32.575416,33.654509]","[32.043267,34.106249]","[32.523743,33.491618]","[30.178297,35.901736]","[32.660788,33.739917]","[32.844593,33.904737]","[32.992445,33.823421]","[32.818712,33.689271]","[31.205324,34.844979]"
"[87,88]","[31.796698,34.009062]","[32.456355,33.402527]","[32.468548,33.632964]","[32.570278,33.684213]","[32.113590,34.078440]","[32.540628,33.519591]","[30.186956,35.921571]","[32.721367,33.687437]","[32.823774,33.927464]","[32.996886,33.833041]","[32.834499,33.704489]","[31.304021,34.781713]"
"[88,89]","[31.842377,33.997775]","[32.480960,33.429984]","[32.511750,33.656301]","[32.636399,33.685624]","[32.138610,34.106043]","[32.551194,33.539085]","[30.178693,35.942131]","[32.663756,33.751299]","[32.861827,33.898699]","[33.002296,33.841812]","[32.841654,33.714801]","[31.236727,34.871525]"
"[89,90]","[31.913272,33.992489]","[32.506736,33.454812]","[32.534609,33.650984]","[32.628234,33.682678]","[32.173911,34.060067]","[32.579886,33.532518]","[30.199434,35.986284]","[32.764676,33.739548]","[32.957774,33.887803]","[33.053186,33.858176]","[32.888505,33.725498]","[31.228704,34.941474]"
"[90,91]","[31.918014,33.986899]","[32.463972,33.510377]","[32.531386,33.661592]","[32.666707,33.651509]","[32.056365,34.212461]","[32.613473,33.580896]","[30.495672,35.803123]","[32.797195,33.804608]","[32.910983,33.974895]","[33.048870,33.842031]","[32.876415,33.691432]","[31.199215,34.940385]"
"[91,92]","[31.867629,34.009692]","[32.509294,33.483415]","[32.590603,33.677204]","[32.751128,33.685699]","[32.414089,33.990491]","[32.698135,33.623744]","[30.776176,35.626779]","[32.857551,33.818436]","[32.972687,33.952959]","[33.052728,33.840232]","[32.867852,33.668935]","[31.155147,34.939586]"
"[92,93]","[31.701512,34.148470]","[32.559120,33.415759]","[32.594134,33.700561]","[32.715314,33.763300]","[32.235586,34.155498]","[32.648915,33.565490]","[30.069389,36.171650]","[32.803018,33.747106]","[32.920128,33.979862]","[33.089561,33.862213]","[32.873369,33.731955]","[31.259352,34.852967]"
"[93,94]","[31.909860,33.972703]","[32.588860,33.455572]","[32.658051,33.740805]","[32.783385,33.783042]","[32.238796,34.163249]","[32.595108,33.538889]","[29.887052,36.231491]","[32.760441,33.699583]","[32.908556,33.974145]","[33.110311,33.878570]","[32.915439,33.734472]","[31.207675,34.933184]"
"[94,95]","[32.004550,33.934311]","[32.618845,33.471782]","[32.689792,33.716426]","[32.788130,33.775040]","[32.280421,34.169717]","[32.661548,33.604471]","[30.368408,35.929637]","[32.854486,33.752440]","[32.959173,33.982114]","[33.117607,33.856032]","[32.865513,33.760511]","[31.146380,35.013812]"
